"","de","en","es","fr","it","pt","ru","es-MX","pt-PT"
"W2L06-3.08","","how long has this guy being here?","","","","","","","",
"W2L06-3.09","","he has a similar suit","","","","","","","",
"W3L01-1.01","","You","","","","","","","",
"W3L01-1.02","","You, player","","","","","","","",
"W3L01-1.03","","You're one of them","","","","","","","",
"W3L01-1.04","","Where's my will?","","","","","","","",
"W3L01-1.05","","Should I just do all that you want?","","","","","","","",
"W3L01-1.06","","Pointing me the exit- just as a test?","","","","","","","",
"W3L01-1.07","","....","","","","","","","",
"W3L01-1.08","","Who're these guys?","","","","","","","",
"W3L01-1.09","","They're so...","","","","","","","",
"W3L01-1.10","","Korporative","","","","","","","",
"W3L01-1.11","","They're trapped in there","","","","","","","",
"W3L01-1.12","","in their cubicles","","","","","","","",
"W3L01-1.13","","at least I have a place to go","","","","","","","",
"W3L01-1.14","","They're locked in the office","","","","","","","",
"W3L01-1.15","","Just following orders","","","","","","","",
"W3L01-1.16","","Actually, I'm not that different","","","","","","","",
"W3L01-1.17","","I'm not fine","","","","","","","",
"W3L01-1.18","","I'm heartbroken","","","","","","","",
"W3L01-1.19","","K1 can help us 
with these guys","","","","","","","",
"W3L01-1.20","","Locked in their cubicles","","","","","","","",
"W3L01-1.21","","Waiting for orders","","","","","","","",
"W3L01-1.22","","I don't want that!","","","","","","","",
"W3L01-1.23","","AH?","","","","","","","",
"W3L01-1.24","","\"K1\" SAYS HI!","","","","","","","",
"W3L01-1.25","","HI!","","","","","","","",
"W3L01-1.26","","HELLO!!!!!","","","","","","","",
"W3L01-1.27","","KORP? I have seen that before...","","","","","","","",
"W3L01-2.01","","Why do these guys work so hard?","","","","","","","",
"W3L01-2.02","","They look like me","","","","","","","",
"W3L01-2.03","","But METALLIC","","","","","","","",
"W3L01-2.04","","what now?","","","","","","","",
"W3L01-2.05","","They have no intelligence","","","","","","","",
"W3L01-2.06","","They're EVEN less 
intelligent than K1","","","","","","","",
"W3L01-2.07","","I thought that 
wasn't possible","","","","","","","",
"W3L01-2.08","","Speaking of K1","","","","","","","",
"W3L01-2.09","","what happened to him?
was he like me?","","","","","","","",
"W3L01-2.10","","HIS TIE AND HIS \"SHIRT\"","","","","","","","",
"W3L01-2.11","","aloha!!","","","","","","","",
"W3L01-2.12","","K1 KNOWS
THEM","","","","","","","",
"W3L01-2.13","","K1 PLAYED
WITH THEM","","","","","","","",
"W3L01-2.14","","K1 IS PLAYING
WITH THEM AGAIN","","","","","","","",
"W3L01-2.15","","now Klaus
knows the truth","","","","","","","",
"W3L01-2.16","","KLAUS will get used to","","","","","","","",
"W3L01-2.17","","IF THAT CAN BE CALLED A SHIRT","","","","","","","",
"W3L01-3.01","","I realized that
I have no privacy","","","","","","","",
"W3L01-3.02","","You can read all my thoughts
","","","","","","","",
"W3L01-3.03","","All my happiness","","","","","","","",
"W3L01-3.04","","All my rage","","","","","","","",
"W3L01-3.05","","This guy will follow me
believe me","","","","","","","",
"W3L01-3.06","","Do your magic!","","","","","","","",
"W3L01-3.07","","My feelings are more
than fancy text","","","","","","","",
"W3L01-3.08","","But it gets reduced to that","","","","","","","",
"W3L01-3.09","","I want to be alone for some time","","","","","","","",
"W3L01-3.10","","Wow, he's close","","","","","","","",
"W3L01-3.11","","I want to be alone with my thoughts","","","","","","","",
"W3L01-3.12","","I want to have mental privacy","","","","","","","",
"W3L01-3.13","","UP UP","","","","","","","",
"W3L01-3.14","","UP UP","","","","","","","",
"W3L01-3.15","","UP UP","","","","","","","",
"W3L01-3.16","","PUNCHING
METAL HURTS K1","","","","","","","",
"W3L01-3.17","","BUT it's fun!!","","","","","","","",
"W3L01-3.18","","SURPRISE!","","","","","","","",
"W3L02-1.01","","I don't want to be a drama queen
but I need time to think about this situation","","","","","","","",
"W3L02-1.02","","KOFEI!!!!","","","","","","","",
"W3L02-1.03","","WOW, careful guys","","","","","","","",
"W3L02-1.04","","Ok, now, this is just ridiculous","","","","","","","",
"W3L02-1.05","","Somebody take away their coffee","","","","","","","",
"W3L02-1.06","","However
I wouldn't mind 
taking a cup of that","","","","","","","",
"W3L02-1.07","","MOVE ON!","","","","","","","",
"W3L02-1.08","","Come in","","","","","","","",
"W3L02-1.09","","Do you think that I'm free?","","","","","","","",
"W3L02-1.10","","Be honest with me","","","","","","","",
"W3L02-1.11","","...","","","","","","","",
"W3L02-1.12","","Sometimes I forget about our
communication situation","","","","","","","",
"W3L02-1.13","","It's always the same...","","","","","","","",
"W3L02-1.14","","The door, the end...","","","","","","","",
"W3L02-1.15","","MORE KOFEI!!!!","","","","","","","",
"W3L02-1.16","","Thanks for that","","","","","","","",
"W3L02-1.17","","You're really a guy of actions and no talk, right?","","","","","","","",
"W3L02-1.18","","the windows are locked...","","","","","","","",
"W3L02-1.19","","...I tried to open it","","","","","","","",
"W3L02-2.01","","Wait, so.
If you're from QA
What're you going to do if I fail?","","","","","","","",
"W3L02-2.02","","Still no answer from you","","","","","","","",
"W3L02-2.03","","You help me against the clones","","","","","","","",
"W3L02-2.04","","But, 
I'm another 
clone","","","","","","","",
"W3L02-2.05","","am I another 
test for you?","","","","","","","",
"W3L02-2.06","","WHO's the original?","","","","","","","",
"W3L02-2.07","","UFF, this just  pops  more 
questions","","","","","","","",
"W3L02-2.08","","UFF. I Have to stop thinking this much","","","","","","","",
"W3L02-2.09","","If I keep thinking, I'll have a breakdown","","","","","","","",
"W3L02-2.10","","Look at them, so generic","","","","","","","",
"W3L02-2.11","","anyways I don't have 
all the answers...","","","","","","","",
"W3L02-2.12","","...yet","","","","","","","",
"W3L02-2.13","","CLONES BIP BIP","","","","","","","",
"W3L02-2.14","","BAM!","","","","","","","",
"W3L02-2.15","","CAPE","","","","","","","",
"W3L02-2.16","","FUN","","","","","","","",
"W3L02-2.17","","RIDE!","","","","","","","",
"W3L02-3.01","","The clone thing
explains how I always get to the door","","","","","","","",
"W3L02-3.02","","I don't think that you always have the right answer","","","","","","","",
"W3L02-3.03","","Every mistake that you make...","","","","","","","",
"W3L02-3.04","","... means death for me","","","","","","","",
"W3L02-3.05","","I have to be honest with you","","","","","","","",
"W3L02-3.06","","And with each error and each death","","","","","","","",
"W3L02-3.07","","I hate you a little bit more","","","","","","","",
"W3L02-3.08","","FINALLY I WILL BE ALONE","","","","","","","",
"W3L02-3.09","","K1 doesn't get tired of this!","","","","","","","",
"W3L02-3.10","","K1 likes to play
with the clones","","","","","","","",
"W3L02-3.11","","KLAUS IS TOO SENSITIVE","","","","","","","",
"W3L02-3.12","","NO MORE KLAUS FOR NOW","","","","","","","",
"W3L02-3.13","","BYE K1","","","","","","","",
"W3L03-1.01","","I'm alone again","","","","","","","",
"W3L03-1.02","","Well, not completely alone, you're always here","","","","","","","",
"W3L03-1.03","","they should go to anger management","","","","","","","",
"W3L03-1.04","","They even have their own
checkpoint system","","","","","","","",
"W3L03-1.05","","these pals are too similar
to me","","","","","","","",
"W3L03-1.06","","did you see?","","","","","","","",
"W3L03-1.07","","they're so easy to manipulate","","","","","","","",
"W3L03-1.08","","everytime that one of them dies","","","","","","","",
"W3L03-1.09","","I see my own face being crushed","","","","","","","",
"W3L03-1.10","","servers everywhere","","","","","","","",
"W3L03-1.11","","what data are they sending?","","","","","","","",
"W3L03-1.12","","they just work all the time","","","","","","","",
"W3L03-1.13","","using coffee as a social excuse","","","","","","","",
"W3L03-1.14","","My face is being destroyed","","","","","","","",
"W3L03-1.15","","time after time","","","","","","","",
"W3L03-1.16","","Wow, these guys need to chill out","","","","","","","",
"W3L03-2.01","","K1 and player","","","","","","","",
"W3L03-2.02","","TOGETHER AGAIN","","","","","","","",
"W3L03-2.03","","FLYING 
EXPRESSO!","","","","","","","",
"W3L03-2.04","","CRASH!","","","","","","","",
"W3L03-2.05","","UP!","","","","","","","",
"W3L03-2.06","","HAHAHA FLYING","","","","","","","",
"W3L03-2.07","","K1 dealt before with what Klaus is dealing with","","","","","","","",
"W3L03-2.08","","KLAUS needs 
to discover himself","","","","","","","",
"W3L03-2.09","","K1 can't talk very well","","","","","","","",
"W3L03-2.10","","But K1 knows what it feels...","","","","","","","",
"W3L03-2.11","","TO BE A CLONE","","","","","","","",
"W3L03-2.12","","TO BE just ANOTHER ONE","","","","","","","",
"W3L03-2.13","","BUT K1 suffered so much","","","","","","","",
"W3L03-2.14","","this is fun for K1","","","","","","","",
"W3L03-2.15","","K1 IS NOT
TOO PATIENT
SOMETIMES","","","","","","","",
"W3L03-3.01","","K1 is actually pretty cool","","","","","","","",
"W3L03-3.02","","I miss K1","","","","","","","",
"W3L03-3.03","","at the end, K1 is the only one I can communicate with","","","","","","","",
"W3L03-3.04","","I bet that these guys can destroy this","","","","","","","",
"W3L03-3.05","","I prefer when K1 does it","","","","","","","",
"W3L03-3.06","","Why am I just following your orders?","","","","","","","",
"W3L03-3.07","","
This will stop now!","","","","","","","",
"W3L03-3.08","","K1 and player","","","","","","","",
"W3L03-3.09","","K1 is having the time of his life!","","","","","","","",
"W3L03-3.10","","PLAYER, is done","","","","","","","",
"W3L03-3.11","","FLYING","","","","","","","",
"W3L03-3.12","","FEELS GOOD","","","","","","","",
"W3L03-3.13","","It helps K1
to relax","","","","","","","",
"W3L03-3.14","","Klaus
needs that","","","","","","","",
"W3L03-3.15","","K1 thinks that
we're going far","","","","","","","",
"W3L03-3.16","","But this is
just the midpoint","","","","","","","",
"W3L03-3.17","","Everything is going to 
change in the next room","","","","","","","",
"W3L03-3.18","","I'm tired of you telling me what to do","","","","","","","",
"W3L03-3.19","","WHAT's this place?!","","","","","","","",
"W3L03-3.20","","SOMEBODY call the manager!","","","","","","","",
"W3L04-1.01","","WAIT where's K1?
These doors are nuts!","","","","","","","",
"W3L04-1.02","","Did you listen to what I said before?","","","","","","","",
"W3L04-1.03","","
I can't do this anymore
I don't trust you
","","","","","","","",
"W3L04-1.04","","Stop CONTROLLING ME!","","","","","","","",
"W3L04-1.05","","Ok, you asked  for it.    I'll do the opposite   of your inputs","","","","","","","",
"W3L04-1.06","","Its not easy, ah?","","","","","","","",
"W3L04-1.07","","HAHA, wrong button","","","","","","","",
"W3L04-1.08","","Damn. 
You got that one","","","","","","","",
"W3L04-1.09","","How about now?","","","","","","","",
"W3L04-1.10","","haha, wrong one again","","","","","","","",
"W3L04-1.11","","How does it feel?","","","","","","","",
"W3L04-1.12","","how does it feel
to lose some control?","","","","","","","",
"W3L04-1.13","","this is how 
I feel everyday","","","","","","","",
"W3L04-1.14","","are you frustrated?","","","","","","","",
"W3L04-1.15","","so close
so far, ha!","","","","","","","",
"W3L04-1.16","","NOT ENOUGH!","","","","","","","",
"W3L04-1.17","","agh! at the end







you reached the door","","","","","","","",
"W3L04-2.01","","Still doing the same","","","","","","","",
"W3L04-2.02","","I hope that...","","","","","","","",
"W3L04-2.03","","...this teaches
you something","","","","","","","",
"W3L04-2.04","","I'm like an evil clone","","","","","","","",
"W3L04-2.05","","and you know what?","","","","","","","",
"W3L04-2.06","","I LOVE IT!","","","","","","","",
"W3L04-2.07","","what?","","","","","","","",
"W3L04-2.08","","Did I reach the door again?","","","","","","","",
"W3L04-3.01","","Its not working.
At the end I'm still going 
wherever you want","","","","","","","",
"W3L04-3.02","","STOP!","","","","","","","",
"W3L04-3.03","","PLEASE","","","","","","","",
"W3L04-3.04","","this shouldn't 
             have been 
                     like this
","","","","","","","",
"W3L04-3.05","","What's the point
of doing the opposite...?","","","","","","","",
"W3L04-3.06","","If you still do what you want","","","","","","","",
"W3L04-3.07","","Do you know 
how frustrating my existance is?","","","","","","","",
"W3L04-3.08","","I can't even die if I want","","","","","","","",
"W3L04-3.09","","This didn't work at all
I anyways reached the door","","","","","","","",
"W3L05-1.01","","Agh, I give up","","","","","","","",
"W3L05-1.02","","BACK to regular life","","","","","","","",
"W3L05-1.03","","No frustration, I will try later
","","","","","","","",
"W3L05-1.04","","So many of them!","","","","","","","",
"W3L05-1.05","","Look at this place","","","","","","","",
"W3L05-1.06","","it seems like a computer cemetery","","","","","","","",
"W3L05-1.07","","With living dead clones...","","","","","","","",
"W3L05-1.08","","All these guys chasing me","","","","","","","",
"W3L05-1.09","","It's so predictable.
I know that I'll reach a door at the end","","","","","","","",
"W3L05-1.10","","I have to calm down






If not I'll have a breakdown","","","","","","","",
"W3L05-2.01","","By the way, where's K1?","","","","","","","",
"W3L05-2.02","","Is incredible how much you change in life","","","","","","","",
"W3L05-2.03","","right now I would prefer to be with K1 than with you","","","","","","","",
"W3L05-2.04","","you're part of them","","","","","","","",
"W3L05-2.05","","You're a sellout!","","","","","","","",
"W3L05-3.01","","WE're finishing this FLOOR","","","","","","","",
"W3L05-3.02","","the last elevator","","","","","","","",
"W3L05-3.03","","wait, what is in there?","","","","","","","",
"W3L05-3.04","","let me check","","","","","","","",
"W3L05-3.05","","....","","","","","","","",
"W3L05-3.06","","DAD?","","","","","","","",
"W3L06-1.01","","Together again","","","","","","","",
"W3L06-1.02","","what's this piece of technology?","","","","","","","",
"W3L06-1.03","","WOOOHOOO!!!","","","","","","","",
"W3L06-1.04","","HAHA. THIS IS GREAT!","","","","","","","",
"W3L06-1.05","","i HAVE TO ADMIT IT","","","","","","","",
"W3L06-1.06","","THIS FEELS GOOD","","","","","","","",
"W3L06-1.07","","JUST FLYING WITH YOUR FRIEND","","","","","","","",
"W3L06-1.08","","IT GOT OVER TOO SOON





                                            again!","","","","","","","",
"W3L06-2.01","","again?!","","","","","","","",
"W3L06-2.02","","challenge accepted!","","","","","","","",
"W3L06-2.03","","ok, this is a maze","","","","","","","",
"W3L06-2.04","","what a labyrinth","","","","","","","",
"W3L06-2.05","","we arrived","","","","","","","",
"W3L06-2.06","","CLOSE!","","","","","","","",
"W3L06-3.01","","Yes, one more!","","","","","","","",
"W3L06-3.02","","Now this?","","","","","","","",
"W3L06-3.03","","we'll do it, right K1?","","","","","","","",
"W3L06-3.04","","did you answer me?","","","","","","","",
"W3L06-3.05","","Maybe I heard something different","","","","","","","",
"W3L06-3.06","","We did it!","","","","","","","",
"W3L06-3.07","","YES","","","","","","","",
"W3L06-3.08","","uh... fun!","","","","","","","",
"W4L01-1.01","","Purple looks great","","","","","","","",
"W4L01-1.02","","its my favorite color, did you know?","","","","","","","",
"W4L01-1.03","","I like this change","","","","","","","",
"W4L01-1.04","","There’s some energy around it","","","","","","","",
"W4L01-1.05","","like a good vibe","","","","","","","",
"W4L01-1.06","","what about that guy with a moustache?","","","","","","","",
"W4L01-1.07","","He might be the original one","","","","","","","",
"W4L01-1.08","","This place is cool, but...","","","","","","","",
"W4L01-1.09","","so this is where all the power is generated","","","","","","","",
"W4L01-1.10","","...still no freedom","","","","","","","",
"W4L01-1.11","","PURPLE!","","","","","","","",
"W4L01-1.12","","BOLTY!","","","","","","","",
"W4L01-1.13","","BOLTY!","","","","","","","",
"W4L01-2.01","","Did I tell you that purple is great?","","","","","","","",
"W4L01-2.02","","this place...","","","","","","","",
"W4L01-2.03","","Because it is","","","","","","","",
"W4L01-2.04","","I like the vibe","","","","","","","",
"W4L01-2.05","","sorry for what happened before...","","","","","","","",
"W4L01-2.06","","I realised that...","","","","","","","",
"W4L01-2.07","","You're just doing your work","","","","","","","",
"W4L01-2.08","","is not your fault and I get it","","","","","","","",
"W4L01-2.09","","I feel something in this place","","","","","","","",
"W4L01-2.10","","something calling out to me...","","","","","","","",
"W4L01-3.01","","How awesome is this power plant","","","","","","","",
"W4L01-3.02","","This is what I was talking about
we need more static in this place!","","","","","","","",
"W4L01-3.03","","When I'm attached to the walls","","","","","","","",
"W4L01-3.04","","I feel the static through my body
and it's awesome","","","","","","","",
"W4L01-3.05","","There's something about
the sparks that I just love","","","","","","","",
"W4L01-3.06","","K1, you're having fun, ah?","","","","","","","",
"W4L01-3.07","","I can see why!","","","","","","","",
"W4L01-3.08","","I’m attracted to electricity","","","","","","","",
"W4L01-3.09","","In a visceral way","","","","","","","",
"W4L01-3.10","","THIS PLACE...","","","","","","","",
"W4L01-3.11","","...brings back bad memories ","","","","","","","",
"W4L01-3.12","","Something bad happened here","","","","","","","",
"W4L01-3.13","","Something really bad","","","","","","","",
"W4L02-1.01","","Bad memories","","","","","","","",
"W4L02-1.02","","You know player. I’m not that guy









Who will just do whatever you want","","","","","","","",
"W4L02-1.03","","I want to go wherever I want","","","","","","","",
"W4L02-1.04","","The problem is that if you stop controlling me
I can't move","","","","","","","",
"W4L02-1.05","","I depend too much on you","","","","","","","",
"W4L02-1.06","","I've had enough of this","","","","","","","",
"W4L02-1.07","","I know, you're just doing your job and all","","","","","","","",
"W4L02-1.08","","But there's only one life...","","","","","","","",
"W4L02-1.09","","Well, not me, but you know what I mean","","","","","","","",
"W4L02-1.10","","I can hear the light, its calling me","","","","","","","",
"W4L02-1.11","","K1 is remembering","","","","","","","",
"W4L02-1.12","","K1 was bad here","","","","","","","",
"W4L02-1.13","","OVERCHARGE IT!","","","","","","","",
"W4L02-2.01","","Are there some technical problems?","","","","","","","",
"W4L02-2.02","","WIIIIIIII","","","","","","","",
"W4L02-2.03","","Look at these bulbs","","","","","","","",
"W4L02-2.04","","I said it before","","","","","","","",
"W4L02-2.05","","THE HORROR!!!","","","","","","","",
"W4L02-2.06","","...And I say it again...","","","","","","","",
"W4L02-2.07","","somebody call the manager!","","","","","","","",
"W4L02-2.08","","IT'S ME EVERYWHERE","","","","","","","",
"W4L02-2.09","","SO... is this where they turn me on? WHAT A HORRIBLE THOUGHT","","","","","","","",
"W4L02-2.10","","So messy","","","","","","","",
"W4L02-2.11","","The maintenance IS TERRIBLE!","","","","","","","",
"W4L02-2.12","","how does K1 do it?","","","","","","","",
"W4L02-2.13","","doesn't
HE care!!!?","","","","","","","",
"W4L02-2.14","","SHINY!","","","","","","","",
"W4L02-3.01","","this should be easy for you","","","","","","","",
"W4L02-3.02","","c'mon, hurry!","","","","","","","",
"W4L02-3.03","","do your job!","","","","","","","",
"W4L02-3.04","","Finally!","","","","","","","",
"W4L03-1.01","","I said ohh girl!","","","","","","","",
"W4L03-1.02","","shock me like an electric eel","","","","","","","",
"W4L03-1.03","","I don't mean this electricity
I feel another one","","","","","","","",
"W4L03-1.04","","It's inside my body","","","","","","","",
"W4L03-1.05","","It's merely by instinct","","","","","","","",
"W4L03-1.06","","I can feel it in my mind","","","","","","","",
"W4L03-1.07","","I can feel it all the time","","","","","","","",
"W4L03-1.08","","You will never understand","","","","","","","",
"W4L03-1.09","","K1 remembers 
when he was like Klaus","","","","","","","",
"W4L03-1.10","","You're made of bones, I of flesh","","","","","","","",
"W4L03-1.11","","I'm cold but shocky","","","","","","","",
"W4L03-1.12","","Let's get this K1!","","","","","","","",
"W4L03-1.13","","feeling the bolts","","","","","","","",
"W4L03-1.14","","that's why 
K1 is K1","","","","","","","",
"W4L03-1.15","","Klaus should stop now","","","","","","","",
"W4L03-1.16","","but K1 will follow Klaus to the end","","","","","","","",
"W4L03-2.01","","UHHHH LIGHT","","","","","","","",
"W4L03-2.02","","You're testing me, right?","","","","","","","",
"W4L03-2.03","","if I fail the test...","","","","","","","",
"W4L03-2.04","","would they throw me into the garbage?","","","","","","","",
"W4L03-2.05","","My major worry is not you","","","","","","","",
"W4L03-2.06","","My major worry is what would they do if I miss a door","","","","","","","",
"W4L03-2.07","","Why are you the only one besides K1 and the clones in this place?","","","","","","","",
"W4L03-2.08","","And that guy with the moustache...","","","","","","","",
"W4L03-2.09","","Is he the original one?","","","","","","","",
"W4L03-2.10","","Is he still alive?","","","","","","","",
"W4L03-2.11","","I'm sure about something...","","","","","","","",
"W4L03-2.12","","I'M NOT PLANNING ON STAYING HERE ANYMORE","","","","","","","",
"W4L03-2.13","","K1 misses dad","","","","","","","",
"W4L03-2.14","","dad taught 
everything to k1","","","","","","","",
"W4L03-2.15","","he taught me how to wall jump","","","","","","","",
"W4L03-2.16","","I hope dad will never
forget K1","","","","","","","",
"W4L04-1.01","","I still have this purple feeling","","","","","","","",
"W4L04-1.02","","the electric anxiety is killing me","","","","","","","",
"W4L04-1.03","","I want to be shocked","","","","","","","",
"W4L04-1.04","","you humans...","","","","","","","",
"W4L04-1.05","","you'll never get it","","","","","","","",
"W4L04-1.06","","C'mon hurry!","","","","","","","",
"W4L04-1.07","","I want to go be there","","","","","","","",
"W4L04-1.08","","ROOFTOP","","","","","","","",
"W4L04-1.09","","In the electric heaven","","","","","","","",
"W4L04-1.10","","Klaus should avoid
the electric feel","","","","","","","",
"W4L04-2.01","","It will be an electric paradise","","","","","","","",
"W4L04-2.02","","we'll shock everything","","","","","","","",
"W4L04-2.03","","you, me, k1...you'll like it","","","","","","","",
"W4L04-2.04","","well, actually I don't know","","","","","","","",
"W4L04-2.05","","I don't even know my name","","","","","","","",
"W4L04-2.06","","I call myself based on a random tattoo...","","","","","","","",
"W4L04-2.07","","My existance is unkown","","","","","","","",
"W4L04-2.08","","I don't have an identity because I'm a clone","","","","","","","",
"W4L04-2.09","","I can't even control myself","","","","","","","",
"W4L04-2.10","","I depend on you","","","","","","","",
"W4L04-2.11","","easy Klaus, don't let that go to your head","","","","","","","",
"W4L04-2.12","","we're going to be great in the electric heaven","","","","","","","",
"W4L04-2.13","","wait, I just realised","","","","","","","",
"W4L04-2.14","","What if you don't let me go
to the electric heaven?","","","","","","","",
"W4L04-2.15","","K1 still has fun","","","","","","","",
"W4L04-2.16","","smashing things
is good for K1","","","","","","","",
"W4L04-2.17","","player should know
that k1 feels like klaus","","","","","","","",
"W4L04-2.18","","with the sparks and everything","","","","","","","",
"W4L04-2.19","","but K1 learned his lesson","","","","","","","",
"W4L04-2.20","","now k1 is a good boy","","","","","","","",
"W4L04-3.01","","You would never let me go to the light","","","","","","","",
"W4L04-3.02","","I know you","","","","","","","",
"W4L04-3.03","","you're always protecting me","","","","","","","",
"W4L04-3.04","","I'm not that guy that you can do 
what you want with","","","","","","","",
"W4L04-3.05","","Ok, I got it","","","","","","","",
"W4L04-3.06","","I just imagine that...","","","","","","","",
"W4L04-3.07","","...and you not letting me take it","","","","","","","",
"W4L04-3.08","","I will not allow that","","","","","","","",
"W4L04-3.09","","You know what?","","","","","","","",
"W4L04-3.10","","I'm not going to listen you anymore!","","","","","","","",
"W4L04-3.11","","I'm FREE!!","","","","","","","",
"W4L04-3.12","","I'm finally free","","","","","","","",
"W4L04-3.13","","K1 still has fun","","","","","","","",
"W4L05-1.01","","I’m tired of this","","","","","","","",
"W4L05-1.02","","The show is over","","","","","","","",
"W4L05-1.03","","I'm going in my own way","","","","","","","",
"W4L05-1.04","","Not even a pause will stop me","","","","","","","",
"W4L05-1.05","","Stop saving me!","","","","","","","",
"W4L05-1.06","","I want to die because of my own mistakes...","","","","","","","",
"W4L05-1.07","","...not because of yours","","","","","","","",
"W4L05-1.08","","STOP!!!","","","","","","","",
"W4L05-2.01","","Now you have no control over me!","","","","","","","",
"W4L05-2.02","","not even a little","","","","","","","",
"W4L05-2.03","","You're so persistent!","","","","","","","",
"W4L05-2.04","","just stop controlling me!","","","","","","","",
"W4L05-2.05","","I reached the door again","","","","","","","",
"W4L05-3.01","","This will be over soon","","","","","","","",
"W4L05-3.02","","The light is close, and this will be over soon","","","","","","","",
"W4L05-3.03","","STOP SAVING ME","","","","","","","",
"W4L05-3.04","","I don't want a saviour","","","","","","","",
"W4L05-3.05","","I WANT The shock","","","","","","","",
"W4L05-3.06","","I FEEL IT","","","","","","","",
"W4L05-3.07","","It's CALLING ME","","","","","","","",
"W4L05-3.08","","I'm so close!","","","","","","","",
"W4L05-3.09","","THE LIGHT!","","","","","","","",
"W4L06-1.01","","KLAUS IS CRAZY","","","","","","","",
"W4L06-1.02","","K1 is going to help klaus","","","","","","","",
"W4L06-1.03","","player helps klaus","","","","","","","",
"W4L06-1.04","","Klaus has short circuited","","","","","","","",
"W4L06-1.05","","k1 knows
how it feels","","","","","","","",
"W4L06-1.06","","k1 was the same 20 years ago","","","","","","","",
"W4L06-1.07","","klaus is not far","","","","","","","",
"W4L06-1.08","","WE'll SAVE KLAUS","","","","","","","",
"W4L06-2.01","","KLAUS ISN'T AT FAULT","","","","","","","",
"W4L06-2.02","","HOWEVER KLAUS 
DOESN’T KNOW 
WHAT IT IS TO BE TRAPPED
","","","","","","","",
"W4L06-2.03","","K1 likes 
to escape","","","","","","","",
"W4L06-2.04","","TO see
new places","","","","","","","",
"W4L06-2.05","","TO EXPLORE","","","","","","","",
"W4L06-2.06","","now k1 
can see new colors","","","","","","","",
"W4L06-2.07","","before k1 only 
saw the same color
for years","","","","","","","",
"W4L06-3.01","","SO NOW IT’S JUST K1 AND PLAYER
","","","","","","","",
"W4L06-3.02","","OH OH!","","","","","","","",
"W4L06-3.03","","SORRY 
K1 DOESN’T TALK
AS MUCH AS KLAUS","","","","","","","",
"W4L06-3.04","","k1 will talk 
about himself","","","","","","","",
"W4L06-3.05","","I like purple","","","","","","","",
"W4L06-3.06","","
K1 LIKES SUSHI 
AND WHITE WINE","","","","","","","",
"W4L06-3.07","","K1 HASN’T EATEN 
sushi IN 20 YEARS","","","","","","","",
"W4L06-3.08","","KLAUS IS HERE","","","","","","","",
"W4L06-3.09","","I hope that klaus remembers K1","","","","","","","",
"W4L06-3.10","","KLAUS helped k1","","","","","","","",
"W4L06-3.11","","player and k1 have to save KLAUS...","","","","","","","",
"W4L06-3.12","","...as Klaus","","","","","","","",
"W5.EXTRA.01","","We're close to it. C'mon!","","","","","","","",
"W5.EXTRA.02","","I can see the script.","","","","","","","",
"W5.EXTRA.03","","K1LifeState.cs COME HERE!","","","","","","","",
"W5.EXTRA.04","","It's running away!","","","","","","","",
"W5.EXTRA.05","","STOP! We're not going to hurt you","","","","","","","",
"W5.EXTRA.06","","Finally. We got the script.","","","","","","","",
"W5.EXTRA.07","","It has no escape.","","","","","","","",
"W5.EXTRA.08","","Oh Oh... the world knows","","","","","","","",
"W5.EXTRA.09","","It's breaking apart","","","","","","","",
"W5.EXTRA.10","","WHAT IS THIS?!!!
","","","","","","","",
"W5.EXTRA.11","","Come.","","","","","","","",
"W5.EXTRA.12","","The hacking machine!","","","","","","","",
"W5.EXTRA.13","","Finally! Yeah!","","","","","","","",
"W5.EXTRA.14","","We did it!","","","","","","","",
"W5.EXTRA.15","","K1 had a dead circuit because or me","","","","","","","",
"W5.EXTRA.16","","The only way to save him is 
getting the script with his life variable","","","","","","","",
"W5.EXTRA.17","","I was so selfish, but how can you blame me?","","","","","","","",
"W5.EXTRA.18","","For the first time I felt it...","","","","","","","",
"W5.EXTRA.19","","... I felt what is being the one in charge","","","","","","","",
"W5.EXTRA.20","","being the boss","","","","","","","",
"W5.EXTRA.21","","It didn't feel that good","","","","","","","",
"W5.EXTRA.22","","too much responsability","","","","","","","",
"W5.EXTRA.23","","I barely can handle my life, you know?","","","","","","","",
"W5.EXTRA.24","","That sound can't be K1...","","","","","","","",
"W5.EXTRA.25","","IT'S A MASSIVE K1 SPRITE!","","","","","","","",
"W5.EXTRA.26","","SO GLITCHY!","","","","","","","",
"W5.EXTRA.27","","Finally some coding is usefull in real life","","","","","","","",
"W5.EXTRA.28","","This code is so unstable","","","","","","","",
"W5.EXTRA.29","","Who did this messy code?","","","","","","","",
"W5.EXTRA.30","","They're amateurs for sure","","","","","","","",
"W5L01-1.01","","Collision.InvisibleWall=true;","","","","","","","",
"W5L01-1.02","","\"They should add
a regular wall.
That will save US time\"","","","","","","","",
"W5L01-1.03","","\"WE have to find K1's Life variable\";","","","","","","","",
"W5L01-1.04","","\"Its the only way to save HIM\";","","","","","","","",
"W5L01-1.05","","\"I screwed up\";","","","","","","","",
"W5L01-1.06","","\"I admit it\";","","","","","","","",
"W5L01-1.07","","\"Where's the key?\";","","","","","","","",
"W5L01-1.08","","With my hacking... ","","","","","","","",
"W5L01-1.09","","...and your focus...","","","","","","","",
